642,5,-1.00022
642,6,0.214249
642,7,-0.391039
643,0,0.236641
643,1,0.239451
643,2,-0.863631
643,3,0.298007
643,4,0.283408
643,5,-2.32175
643,6,0.213156
643,7,-0.627822
644,0,0.238823
644,1,0.25651
644,2,-1.80521
644,3,0.338932
644,4,0.316343
644,5,-2.67997
644,6,0.24231
644,7,-0.550893
645,0,0.209512
645,1,0.241747
645,2,-1.93232
645,3,0.316724
645,4,0.285751
645,5,-4.21817
645,6,0.208177
645,7,-0.752717
646,0,0.258299
646,1,0.267091
646,2,-2.94284
646,3,0.267455
646,4,0.30488
646,5,-5
646,6,0.309201
646,7,-0.719811
647,0,-0.0195998
647,1,0.122628
647,2,-3.25165
647,3,0.244612
647,4,0.238991
647,5,-5
647,6,0.0867975
647,7,-0.14383
648,0,0.156441
648,1,0.107185
648,2,-2.45311
648,3,0.216463
648,4,0.293728
648,5,-5
648,6,0.198763
648,7,-0.633818
649,0,0.1865
649,1,0.192802
649,2,-4.24942
649,3,0.212157
649,4,0.23397
649,5,-5
649,6,0.371428
649,7,-0.768286
650,0,0.17377
650,1,0.116312
650,2,-3.95032
650,3,0.150037
650,4,0.195876
650,5,-5
650,6,0.325249
650,7,-0.713844
651,0,0.197513
651,1,0.231361
651,2,-2.08559
651,3,0.0842072
651,4,0.204981
651,5,-2.8492
651,6,0.567036
651,7,-0.343352
684,0,-2.25165
684,1,-0.717784
684,2,-5
684,3,0.104411
684,4,0.0692539
684,5,-5
684,6,-1.58472
684,7,-0.468687
685,0,-1.78343
685,1,-0.198921
685,2,-4.93364
685,3,0.217514
685,4,0.0306689
685,5,-4.96801
685,6,-2.33821
685,7,-0.306701
686,0,-1.73917
686,1,-2.92728
686,2,-4.98725
686,3,0.283876
686,4,0.126239
686,5,-5
686,6,-1.63229
686,7,-0.550014
687,0,-3.92032
687,1,-1.68282
687,2,-4.93644
687,3,-1.12442
687,4,0.127086
687,5,-4.94287
687,6,-1.3078
687,7,-0.790993
688,0,-3.49729
688,1,-2.87949
688,2,-5
688,3,-1.70747
688,4,0.428655
688,5,-5
688,6,-2.15532
688,7,-0.110701
721,0,-3.71398
721,1,-2.60064
721,2,-5
721,3,-2.79692
721,4,-1.51241
721,5,-5
721,6,-2.31827
721,7,-0.486482
722,0,-3.29435
722,1,-3.77991
722,2,-4.85257
722,3,-3.18048
722,4,-2.86579
722,5,-5
722,6,-3.00117
722,7,0.327153
723,0,-3.92114
723,1,-3.74401
723,2,-5
723,3,-4.69626
723,4,-1.93713
723,5,-5
723,6,-1.18054
723,7,0.340136
724,0,-4.98805
724,1,-4.73509
724,2,-5
724,3,-5
724,4,-4.99916
724,5,-5
724,6,-4.99716
724,7,0.882571
725,0,-0.297357
725,1,0.123969
725,2,-3.53111
725,3,-0.00589419
725,4,0.192824
725,5,-5
725,6,-3.19917
725,7,0.92453
768,0,0.267562
768,1,0.268132
768,2,0.260921
768,3,0.262668
768,4,0.285482
768,5,0.233682
768,6,0.269046
768,7,-0.404435
770,0,0.197784
770,1,0.218372
770,2,-0.0873119
770,3,0.277388
770,4,0.252294
770,5,-1.738
770,6,0.242454
770,7,-0.456522
771,0,0.222763
771,1,0.227712
771,2,-1.72713
771,3,0.2649
771,4,0.2481
771,5,-2.24184
771,6,0.219446
771,7,-0.306071
772,0,0.237303
772,1,0.252037
772,2,-1.80335
772,3,0.335606
772,4,0.265237
772,5,-2.58031
772,6,0.251847
772,7,-0.523022
773,0,0.176447
773,1,0.201692
773,2,-1.13597
773,3,0.217731
773,4,0.280313
773,5,-3.70404
773,6,0.211348
773,7,-0.296267
774,0,0.221322
774,1,0.239914
774,2,-2.82749
774,3,0.238696
774,4,0.318049
774,5,-5
774,6,0.265944
774,7,-0.605388
775,0,0.135025
775,1,0.161247
775,2,-2.50105
775,3,0.251286
775,4,0.226478
775,5,-5
775,6,0.0846033
775,7,-0.419308
776,0,0.164338
776,1,0.18573
776,2,-4.78924
776,3,0.219653
776,4,0.220082
776,5,-5
776,6,0.158458
776,7,-0.227565
777,0,0.184613
777,1,0.157282
777,2,-4.04873
777,3,0.179938
777,4,0.218361
777,5,-5
777,6,0.191742
777,7,-0.499799
778,0,0.371402
778,1,0.178095
778,2,-4.13958
778,3,0.123281
778,4,0.180183
778,5,-5
778,6,0.213525
778,7,-0.683696
779,0,0.239483
779,1,0.260782
779,2,0.482628
779,3,0.196421
779,4,0.255293
779,5,0.220162
779,6,0.242374
779,7,-0.375551
812,0,-1.0724
812,1,-0.478338
812,2,-4.47323
812,3,0.0184975
812,4,-0.0106082
812,5,-4.92078
812,6,-2.66622
812,7,-0.655203
813,0,-1.11303
813,1,-0.680085
813,2,-4.94496
813,3,0.0182732
813,4,0.135625
813,5,-4.96239
813,6,-2.06548
813,7,-0.472305
814,0,-2.27673
814,1,-1.38118
814,2,-4.92154
814,3,0.296553
814,4,0.0485243
814,5,-4.58395
814,6,-1.65541
814,7,-0.662437
815,0,-1.4981
815,1,-2.32056
815,2,-4.92342
815,3,-0.0921896
815,4,0.205657
815,5,-4.30296
815,6,-2.06966
815,7,-0.598323
816,0,-2.92678
816,1,-2.4794
816,2,-4.99776
816,3,-1.40291
816,4,0.354715
816,5,-5
816,6,-3.32427
816,7,-0.425714
849,0,-3.10798
849,1,-3.25492
849,2,-4.20807
849,3,-2.87839
849,4,-0.653246
849,5,-5
849,6,-1.6062
849,7,-0.214527
850,0,-2.80784
850,1,-2.73818
850,2,-4.99284
850,3,-3.90153
850,4,-2.48826
850,5,-5
850,6,-2.5465
850,7,-0.150627
851,0,-3.94084
851,1,-3.82149
851,2,-4.59657
851,3,-3.11421
851,4,-3.54273
851,5,-5
851,6,-2.10407
851,7,0.30773
852,0,-4.27606
852,1,-4.77259
852,2,-4.64796
852,3,-4.91374
852,4,-4.94431
852,5,-5
852,6,-4.98406
852,7,0.322392
853,0,0.144799
853,1,0.161135
853,2,-4.38129
853,3,-0.252762
853,4,0.114404
853,5,-5
853,6,0.295822
853,7,0.851711
